country,continent,year,lifeExp,pop,gdpPercap,iso_alpha,iso_num
Austria,Europe,1982,73.18,7574613,21.597.083.619.999.900,AUT,40
Austria,Europe,1987,74.94,7578903,2.368.782.607,AUT,40
Austria,Europe,1992,76.04,7914969,2.704.201.868,AUT,40
Austria,Europe,1997,77.51,8069876,29.095.920.660.000.000,AUT,40
Austria,Europe,2002,78.98,8148312,32.417.607.689.999.900,AUT,40
Austria,Europe,2007,79.829,8199783,361.264.927,AUT,40
Bahrain,Asia,1952,5.093.899.999.999.990,120447,9.867.084.765.000.000,BHR,48
Bahrain,Asia,1957,53.832,138655,1.163.579.945,BHR,48
Bahrain,Asia,1962,56.923,171863,1.275.327.514,BHR,48
Bahrain,Asia,1967,59.923,202182,148.046.727,BHR,48
Bahrain,Asia,1972,63.3,230800,1.826.865.839,BHR,48
Bahrain,Asia,1977,65.593,297410,1.934.010.196,BHR,48
Bahrain,Asia,1982,6.905.199.999.999.990,377967,1.921.114.731,BHR,48
Bahrain,Asia,1987,70.75,454612,1.852.402.406,BHR,48
Bahrain,Asia,1992,72.601,529491,19.035.579.169.999.900,BHR,48
Bahrain,Asia,1997,73.925,598561,2.029.201.679,BHR,48
Bahrain,Asia,2002,74.795,656397,23.403.559.269.999.900,BHR,48
Bahrain,Asia,2007,75.635,708573,29.796.048.339.999.900,BHR,48
Bangladesh,Asia,1952,37.484,46886859,6.842.441.716,BGD,50
Bangladesh,Asia,1957,39.348,51365468,6.616.374.577,BGD,50
Bangladesh,Asia,1962,41.216,56839289,6.863.415.537.999.990,BGD,50
Bangladesh,Asia,1967,43.453,62821884,7.211.860.862.000.000,BGD,50
Bangladesh,Asia,1972,45.251.999.999.999.900,70759295,6.302.336.265,BGD,50
Bangladesh,Asia,1977,46.923,80428306,6.598.772.322.000.000,BGD,50
Bangladesh,Asia,1982,5.000.899.999.999.990,93074406,6.769.818.656,BGD,50
Bangladesh,Asia,1987,52.818.999.999.999.900,103764241,7.519.794.035,BGD,50
Bangladesh,Asia,1992,56.018,113704579,8.378.101.642.999.990,BGD,50
Bangladesh,Asia,1997,59.412,123315288,9.727.700.352,BGD,50
Bangladesh,Asia,2002,62.013.000.000.000.000,135656790,11.363.904.300.000.000,BGD,50
Bangladesh,Asia,2007,64.062,150448339,1.391.253.792,BGD,50
Belgium,Europe,1952,68.0,8730405,8.343.105.126.999.990,BEL,56
Belgium,Europe,1957,69.24,8989111,9.714.960.623,BEL,56
Belgium,Europe,1962,70.25,9218400,1.099.120.676,BEL,56
Belgium,Europe,1967,70.94,9556500,1.314.904.119,BEL,56
Belgium,Europe,1972,71.44,9709100,1.667.214.356,BEL,56
Belgium,Europe,1977,72.8,9821800,1.911.797.448,BEL,56
Belgium,Europe,1982,73.93,9856303,2.097.984.589,BEL,56
Belgium,Europe,1987,75.35,9870200,2.252.556.308,BEL,56
Belgium,Europe,1992,76.46,10045622,2.557.557.069,BEL,56
Belgium,Europe,1997,77.53,10199787,27.561.196.630.000.000,BEL,56
Belgium,Europe,2002,78.32,10311970,3.048.588.375,BEL,56
Belgium,Europe,2007,79.441,10392226,3.369.260.508,BEL,56
Benin,Africa,1952,38.223,1738315,10.627.522,BEN,204
Benin,Africa,1957,40.358.000.000.000.000,1925173,9.596.010.805,BEN,204
Benin,Africa,1962,42.618,2151895,9.494.990.641,BEN,204
Benin,Africa,1967,44.885,2427334,1.035.831.411,BEN,204
Benin,Africa,1972,47.013.999.999.999.900,2761407,1.085.796.879,BEN,204
Benin,Africa,1977,49.19,3168267,1.029.161.251,BEN,204
Benin,Africa,1982,50.903.999.999.999.900,3641603,1.277.897.616,BEN,204
Benin,Africa,1987,52.336.999.999.999.900,4243788,122.585.601,BEN,204
Benin,Africa,1992,53.919,4981671,1.191.207.681,BEN,204
Benin,Africa,1997,54.777,6066080,1.232.975.292,BEN,204
Benin,Africa,2002,54.406.000.000.000.000,7026113,1.372.877.931,BEN,204
Benin,Africa,2007,56.728,8078314,1.441.284.873,BEN,204
Bolivia,Americas,1952,40.414,2883315,26.773.263.469.999.900,BOL,68
Bolivia,Americas,1957,41.89,3211738,2.127.686.326,BOL,68
Bolivia,Americas,1962,43.428.000.000.000.000,3593918,2.180.972.546,BOL,68
Bolivia,Americas,1967,45.032,4040665,2.586.886.053,BOL,68
Bolivia,Americas,1972,46.714,4565872,2.980.331.339,BOL,68
Bolivia,Americas,1977,50.023,5079716,3.548.097.832,BOL,68
Bolivia,Americas,1982,53.858.999.999.999.900,5642224,3.156.510.452,BOL,68
Bolivia,Americas,1987,57.251.000.000.000.000,6156369,27.536.914.899.999.900,BOL,68
Bolivia,Americas,1992,59.957,6893451,2.961.699.694,BOL,68
Bolivia,Americas,1997,62.05,7693188,3.326.143.191,BOL,68
Bolivia,Americas,2002,63.883,8445134,341.326.269,BOL,68
Bolivia,Americas,2007,65.554,9119152,38.221.370.840.000.000,BOL,68
Bosnia and Herzegovina,Europe,1952,53.82,2791000,9.735.331.947.999.990,BIH,70
Bosnia and Herzegovina,Europe,1957,58.45,3076000,1.353.989.176,BIH,70
Bosnia and Herzegovina,Europe,1962,61.93,3349000,1.709.683.679,BIH,70
Bosnia and Herzegovina,Europe,1967,64.79,3585000,21.723.524.230.000.000,BIH,70
Bosnia and Herzegovina,Europe,1972,67.45,3819000,286.016.975,BIH,70
Bosnia and Herzegovina,Europe,1977,69.86,4086000,3.528.481.305,BIH,70
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4.126.613.157,BIH,70
Bosnia and Herzegovina,Europe,1987,71.14,4338977,4.314.114.757,BIH,70
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2.546.781.445,BIH,70
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4.766.355.904,BIH,70
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6.018.975.239,BIH,70
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7.446.298.803,BIH,70
Botswana,Africa,1952,47.622,442308,8.512.411.407,BWA,72
Botswana,Africa,1957,49.618,474639,9.182.325.348.999.990,BWA,72
Botswana,Africa,1962,51.52,512764,9.836.539.764,BWA,72
Botswana,Africa,1967,53.298,553541,1.214.709.294,BWA,72
Botswana,Africa,1972,56.023.999.999.999.900,619351,22.636.111.140.000.000,BWA,72
Botswana,Africa,1977,59.318.999.999.999.900,781472,3.214.857.818,BWA,72
Botswana,Africa,1982,61.483.999.999.999.900,970347,455.114.215,BWA,72
Botswana,Africa,1987,63.622,1151184,620.588.385,BWA,72
Botswana,Africa,1992,62.745,1342614,7.954.111.645,BWA,72
Botswana,Africa,1997,52.556.000.000.000.000,1536536,8.647.142.313,BWA,72
Botswana,Africa,2002,4.663.399.999.999.990,1630347,1.100.360.508,BWA,72
Botswana,Africa,2007,50.728,1639131,12.569.851.770.000.000,BWA,72
Brazil,Americas,1952,50.917,56602560,2.108.944.355,BRA,76
Brazil,Americas,1957,53.285,65551171,2.487.365.989,BRA,76
Brazil,Americas,1962,55.665,76039390,3.336.585.802,BRA,76
Brazil,Americas,1967,57.632,88049823,3.429.864.357,BRA,76
Brazil,Americas,1972,59.504,100840058,4.985.711.467,BRA,76
Brazil,Americas,1977,61.489,114313951,6.660.118.654,BRA,76
Brazil,Americas,1982,63.336.000.000.000.000,128962939,7.030.835.878,BRA,76
Brazil,Americas,1987,65.205,142938076,7.807.095.818.000.000,BRA,76
Brazil,Americas,1992,67.057,155975974,6.950.283.020.999.990,BRA,76
Brazil,Americas,1997,69.388,168546719,7.957.980.823.999.990,BRA,76
Brazil,Americas,2002,71.006,179914212,8.131.212.843.000.000,BRA,76
Brazil,Americas,2007,72.39,190010647,9.065.800.825,BRA,76
Bulgaria,Europe,1952,59.6,7274900,24.442.866.480.000.000,BGR,100
Bulgaria,Europe,1957,66.61,7651254,3.008.670.727,BGR,100
Bulgaria,Europe,1962,69.51,8012946,4.254.337.839,BGR,100
Bulgaria,Europe,1967,70.42,8310226,55.770.028,BGR,100
Bulgaria,Europe,1972,70.9,8576200,6.597.494.398,BGR,100
Bulgaria,Europe,1977,70.81,8797022,7.612.240.438,BGR,100
Bulgaria,Europe,1982,71.08,8892098,8.224.191.647,BGR,100
Bulgaria,Europe,1987,71.34,8971958,8.239.854.824,BGR,100
Bulgaria,Europe,1992,71.19,8658506,63.026.234.380.000.000,BGR,100
Bulgaria,Europe,1997,70.32,8066057,597.038.876,BGR,100
Bulgaria,Europe,2002,72.14,7661799,7.696.777.725,BGR,100
Bulgaria,Europe,2007,73.005,7322858,1.068.079.282,BGR,100
Burkina Faso,Africa,1952,31.975,4469979,5.432.552.413,BFA,854
Burkina Faso,Africa,1957,34.906,4713416,6.171.834.647.999.990,BFA,854
Burkina Faso,Africa,1962,37.814,4919632,7.225.120.206,BFA,854
Burkina Faso,Africa,1967,40.696.999.999.999.900,5127935,7.948.265.597,BFA,854
Burkina Faso,Africa,1972,43.591,5433886,8.547.359.763.000.000,BFA,854
Burkina Faso,Africa,1977,46.137,5889574,7.433.870.368,BFA,854
Burkina Faso,Africa,1982,48.122,6634596,8.071.985.855,BFA,854
Burkina Faso,Africa,1987,49.556.999.999.999.900,7586551,9.120.631.417.000.000,BFA,854
Burkina Faso,Africa,1992,50.26,8878303,9.317.527.731,BFA,854
Burkina Faso,Africa,1997,50.324,10352843,9.462.949.617.999.990,BFA,854
Burkina Faso,Africa,2002,50.65,12251209,1.037.645.221,BFA,854
Burkina Faso,Africa,2007,52.295,14326203,1.217.032.994,BFA,854
Burundi,Africa,1952,39.031,2445618,33.929.645.869.999.900,BDI,108
Burundi,Africa,1957,40.533,2667518,37.956.462.810.000.000,BDI,108
Burundi,Africa,1962,42.045,2961915,3.552.032.273,BDI,108
Burundi,Africa,1967,43.548,3330989,41.297.751.360.000.000,BDI,108
Burundi,Africa,1972,44.056.999.999.999.900,3529983,4.640.995.039,BDI,108
Burundi,Africa,1977,45.91,3834415,5.561.032.651,BDI,108
Burundi,Africa,1982,47.471.000.000.000.000,4580410,5.596.032.309.999.990,BDI,108
Burundi,Africa,1987,48.211.000.000.000.000,5126023,6.218.188.188.999.990,BDI,108
Burundi,Africa,1992,44.736.000.000.000.000,5809236,6.316.998.778,BDI,108
Burundi,Africa,1997,45.326,6121610,4.631.151.478,BDI,108
Burundi,Africa,2002,47.36,7021078,4.464.035.126,BDI,108
Burundi,Africa,2007,49.58,8390505,43.007.069.160.000.000,BDI,108
Cambodia,Asia,1952,39.417,4693836,36.846.928.560.000.000,KHM,116
Cambodia,Asia,1957,4.136.600.000.000.000,5322536,4.340.383.364,KHM,116
Cambodia,Asia,1962,43.415,6083619,4.969.136.476,KHM,116
Cambodia,Asia,1967,45.415,6960067,5.234.323.142,KHM,116
Cambodia,Asia,1972,40.317,7450606,4.216.240.257,KHM,116
Cambodia,Asia,1977,31.22,6978607,5.249.721.831.999.990,KHM,116
Cambodia,Asia,1982,50.957,7272485,6.244.754.784,KHM,116
Cambodia,Asia,1987,53.913.999.999.999.900,8371791,6.838.955.732.000.000,KHM,116
Cambodia,Asia,1992,55.803.000.000.000.000,10150094,6.823.031.755,KHM,116
Cambodia,Asia,1997,56.534,11782962,73.428.517,KHM,116
Cambodia,Asia,2002,56.751.999.999.999.900,12926707,8.962.260.152.999.990,KHM,116
Cambodia,Asia,2007,59.723,14131858,17.137.786.859.999.900,KHM,116
Cameroon,Africa,1952,38.523,5009067,1.172.667.655,CMR,120
Cameroon,Africa,1957,40.428.000.000.000.000,5359923,1.313.048.099,CMR,120
Cameroon,Africa,1962,42.643,5793633,1.399.607.441,CMR,120
Cameroon,Africa,1967,44.799,6335506,1.508.453.148,CMR,120
Cameroon,Africa,1972,47.049,7021028,16.841.465.280.000.000,CMR,120
Cameroon,Africa,1977,49.355,7959865,1.783.432.873,CMR,120
Cameroon,Africa,1982,52.961.000.000.000.000,9250831,2.367.983.282,CMR,120
Cameroon,Africa,1987,54.985,10780667,2.602.664.206,CMR,120
Cameroon,Africa,1992,5.431.399.999.999.990,12467171,17.931.632.780.000.000,CMR,120
Cameroon,Africa,1997,52.199,14195809,1.694.337.469,CMR,120
Cameroon,Africa,2002,49.856,15929988,19.340.114.489.999.900,CMR,120
Cameroon,Africa,2007,50.43,17696293,20.420.952.399.999.900,CMR,120
Canada,Americas,1952,68.75,14785584,1.136.716.112,CAN,124
Canada,Americas,1957,69.96,17010154,1.248.995.006,CAN,124
Canada,Americas,1962,71.3,18985849,1.346.248.555,CAN,124
Canada,Americas,1967,72.13,20819767,1.607.658.803,CAN,124
Canada,Americas,1972,72.88,22284500,1.897.057.086,CAN,124
Canada,Americas,1977,74.21,23796400,2.209.088.306,CAN,124
Canada,Americas,1982,75.76,25201900,2.289.879.214,CAN,124
Canada,Americas,1987,76.86,26549700,26.626.515.030.000.000,CAN,124
Canada,Americas,1992,77.95,28523502,2.634.288.426,CAN,124
Canada,Americas,1997,78.61,30305843,2.895.492.589,CAN,124
Canada,Americas,2002,79.77,31902268,3.332.896.507,CAN,124
Canada,Americas,2007,80.653,33390141,36.319.235.010.000.000,CAN,124
Central African Republic,Africa,1952,35.463,1291695,1.071.310.713,CAF,140
Central African Republic,Africa,1957,37.464,1392284,1.190.844.328,CAF,140
Central African Republic,Africa,1962,39.475,1523478,1.193.068.753,CAF,140
Central African Republic,Africa,1967,41.478,1733638,1.136.056.615,CAF,140
Central African Republic,Africa,1972,43.457,1927260,1.070.013.275,CAF,140
Central African Republic,Africa,1977,46.775,2167533,1.109.374.338,CAF,140
Central African Republic,Africa,1982,48.295,2476971,9.567.529.906.999.990,CAF,140
Central African Republic,Africa,1987,50.485,2840009,8.448.763.504.000.000,CAF,140
Central African Republic,Africa,1992,49.396,3265124,7.479.055.252,CAF,140
Central African Republic,Africa,1997,46.066,3696513,7.405.063.317,CAF,140
Central African Republic,Africa,2002,43.308,4048013,7.386.906.068,CAF,140
Central African Republic,Africa,2007,4.474.100.000.000.000,4369038,706.016.537,CAF,140
Chad,Africa,1952,38.092,2682462,1.178.665.927,TCD,148
Chad,Africa,1957,39.881,2894855,1.308.495.577,TCD,148
Chad,Africa,1962,41.716,3150417,1.389.817.618,TCD,148
Chad,Africa,1967,43.601.000.000.000.000,3495967,1.196.810.565,TCD,148
Chad,Africa,1972,45.568.999.999.999.900,3899068,1.104.103.987,TCD,148
Chad,Africa,1977,47.383,4388260,113.398.495,TCD,148
Chad,Africa,1982,49.516.999.999.999.900,4875118,7.979.081.006,TCD,148
Chad,Africa,1987,51.051,5498955,9.523.861.289.999.990,TCD,148
Chad,Africa,1992,51.724,6429417,10.580.643,TCD,148
Chad,Africa,1997,51.573,7562011,10.049.613.529.999.900,TCD,148
Chad,Africa,2002,50.525,8835739,115.618.186,TCD,148
Chad,Africa,2007,50.651,10238807,17.040.637.239.999.900,TCD,148
Chile,Americas,1952,54.745,6377619,39.399.787.890.000.000,CHL,152
Chile,Americas,1957,56.074,7048426,43.156.227.229.999.900,CHL,152
Chile,Americas,1962,57.924,7961258,4.519.094.331,CHL,152
Chile,Americas,1967,60.523,8858908,5.106.654.313,CHL,152
Chile,Americas,1972,63.441,9717524,5.494.024.437,CHL,152
Chile,Americas,1977,6.705.199.999.999.990,10599793,4.756.763.836,CHL,152
Chile,Americas,1982,70.565,11487112,5.095.665.738.000.000,CHL,152
Chile,Americas,1987,72.492,12463354,5.547.063.754,CHL,152
Chile,Americas,1992,74.126,13572994,7.596.125.964,CHL,152
Chile,Americas,1997,75.816,14599929,10.118.053.179.999.900,CHL,152
Chile,Americas,2002,77.86,15497046,1.077.878.385,CHL,152
Chile,Americas,2007,78.553,16284741,1.317.163.885,CHL,152
China,Asia,1952,44.0,556263527,40.044.861.099.999.900,CHN,156
China,Asia,1957,5.054.896,637408000,5.759.870.009,CHN,156
China,Asia,1962,4.450.136,665770000,4.876.740.183,CHN,156
China,Asia,1967,58.381.119.999.999.900,754550000,6.127.056.934,CHN,156
China,Asia,1972,63.118.880.000.000.000,862030000,6.769.000.921,CHN,156
China,Asia,1977,6.396.736,943455000,7.412.374.699,CHN,156
China,Asia,1982,65.525,1000281000,9.624.213.804.999.990,CHN,156
China,Asia,1987,67.274,1084035000,1.378.904.018,CHN,156
China,Asia,1992,68.69,1164970000,1.655.784.158,CHN,156
China,Asia,1997,70.426,1230075000,2.289.234.136,CHN,156
China,Asia,2002,72.028,1280400000,3.119.280.896,CHN,156
China,Asia,2007,72.961,1318683096,49.591.148.539.999.900,CHN,156
Colombia,Americas,1952,50.643,12350771,2.144.115.096,COL,170
Colombia,Americas,1957,55.118,14485993,2.323.805.581,COL,170
Colombia,Americas,1962,57.863,17009885,2.492.351.109,COL,170
Colombia,Americas,1967,59.963,19764027,2.678.729.839,COL,170
Colombia,Americas,1972,61.623.000.000.000.000,22542890,3.264.660.041,COL,170
Colombia,Americas,1977,63.836.999.999.999.900,25094412,381.580.787,COL,170
Colombia,Americas,1982,66.653,27764644,4.397.575.659,COL,170
Colombia,Americas,1987,67.768,30964245,49.032.191,COL,170
Colombia,Americas,1992,68.421,34202721,5.444.648.617,COL,170
Colombia,Americas,1997,70.313,37657830,61.173.617.460.000.000,COL,170
Colombia,Americas,2002,71.682,41008227,5.755.259.962,COL,170
Colombia,Americas,2007,72.889,44227550,7.006.580.419,COL,170
Comoros,Africa,1952,40.715,153936,1.102.990.936,COM,174
Comoros,Africa,1957,42.46,170928,12.111.485.480.000.000,COM,174
Comoros,Africa,1962,44.467,191689,1.406.648.278,COM,174
Comoros,Africa,1967,46.472,217378,1.876.029.643,COM,174
Comoros,Africa,1972,48.943.999.999.999.900,250027,1.937.577.675,COM,174
Comoros,Africa,1977,5.093.899.999.999.990,304739,1.172.603.047,COM,174
Comoros,Africa,1982,52.933,348643,1.267.100.083,COM,174
Comoros,Africa,1987,54.926,395114,1.315.980.812,COM,174
Comoros,Africa,1992,5.793.899.999.999.990,454429,124.690.737,COM,174
Comoros,Africa,1997,60.66,527982,1.173.618.235,COM,174
Comoros,Africa,2002,62.974,614382,1.075.811.558,COM,174
Comoros,Africa,2007,65.152,710960,9.861.478.792.000.000,COM,174
Congo, Dem. Rep.,Africa,1952,39.143,14100005,7.805.423.257,COD,180
Congo, Dem. Rep.,Africa,1957,40.652,15577932,9.058.602.302.999.990,COD,180
Congo, Dem. Rep.,Africa,1962,42.122,17486434,8.963.146.335.000.000,COD,180
Congo, Dem. Rep.,Africa,1967,44.056.000.000.000.000,19941073,8.615.932.424,COD,180
Congo, Dem. Rep.,Africa,1972,45.989,23007669,9.048.960.685.000.000,COD,180
Congo, Dem. Rep.,Africa,1977,47.803.999.999.999.900,26480870,795.757.282,COD,180
Congo, Dem. Rep.,Africa,1982,47.784,30646495,6.737.478.181,COD,180
Congo, Dem. Rep.,Africa,1987,47.412,35481645,672.774.812,COD,180
Congo, Dem. Rep.,Africa,1992,45.548,41672143,4.577.191.807,COD,180
Congo, Dem. Rep.,Africa,1997,42.586.999.999.999.900,47798986,312.188.423,COD,180
Congo, Dem. Rep.,Africa,2002,44.966,55379852,24.116.587.650.000.000,COD,180
Congo, Dem. Rep.,Africa,2007,46.461.999.999.999.900,64606759,27.755.185.869.999.900,COD,180
Congo, Rep.,Africa,1952,42.111.000.000.000.000,854885,2.125.621.418,COG,178
Congo, Rep.,Africa,1957,45.053.000.000.000.000,940458,2.315.056.572,COG,178
Congo, Rep.,Africa,1962,48.435,1047924,2.464.783.157,COG,178
Congo, Rep.,Africa,1967,52.04,1179760,26.779.396.420.000.000,COG,178
Congo, Rep.,Africa,1972,54.907,1340458,3.213.152.683,COG,178
Congo, Rep.,Africa,1977,55.625,1536769,3.259.178.978,COG,178
Congo, Rep.,Africa,1982,56.695,1774735,4.879.507.522,COG,178
Congo, Rep.,Africa,1987,57.47,2064095,4.201.194.936.999.990,COG,178
Congo, Rep.,Africa,1992,56.433,2409073,4.016.239.529,COG,178
Congo, Rep.,Africa,1997,52.961.999.999.999.900,2800947,34.841.643.759.999.900,COG,178
Congo, Rep.,Africa,2002,52.97,3328795,348.406.197,COG,178
Congo, Rep.,Africa,2007,55.321.999.999.999.900,3800610,3.632.557.798,COG,178
Costa Rica,Americas,1952,57.206,926317,26.270.094.710.000.000,CRI,188
Costa Rica,Americas,1957,60.026,1112300,2.990.010.802,CRI,188
Costa Rica,Americas,1962,62.842,1345187,3.460.937.025,CRI,188
Costa Rica,Americas,1967,6.542.399.999.999.990,1588717,4.161.727.834,CRI,188
Costa Rica,Americas,1972,6.784.899.999.999.990,1834796,5.118.146.939,CRI,188
Costa Rica,Americas,1977,70.75,2108457,5.926.876.967,CRI,188
Costa Rica,Americas,1982,73.45,2424367,5.262.734.751,CRI,188
Costa Rica,Americas,1987,74.752,2799811,5.629.915.318,CRI,188
Costa Rica,Americas,1992,7.571.300.000.000.000,3173216,6.160.416.317,CRI,188
Costa Rica,Americas,1997,77.26,3518107,6.677.045.314,CRI,188
Costa Rica,Americas,2002,78.123,3834934,7.723.447.195.000.000,CRI,188
Costa Rica,Americas,2007,78.782,4133884,964.506.142,CRI,188
Cote d'Ivoire,Africa,1952,40.477,2977019,1.388.594.732,CIV,384
Cote d'Ivoire,Africa,1957,42.468.999.999.999.900,3300000,1.500.895.925,CIV,384
Cote d'Ivoire,Africa,1962,44.93,3832408,17.288.694.280.000.000,CIV,384
Cote d'Ivoire,Africa,1967,47.35,4744870,20.520.504.730.000.000,CIV,384
Cote d'Ivoire,Africa,1972,49.801,6071696,2.378.201.111,CIV,384
Cote d'Ivoire,Africa,1977,52.373.999.999.999.900,7459574,2.517.736.547,CIV,384
Cote d'Ivoire,Africa,1982,53.983.000.000.000.000,9025951,2.602.710.169,CIV,384
Cote d'Ivoire,Africa,1987,54.655,10761098,21.569.560.690.000.000,CIV,384
Cote d'Ivoire,Africa,1992,52.044,12772596,1.648.073.791,CIV,384
Cote d'Ivoire,Africa,1997,4.799.100.000.000.000,14625967,1.786.265.407,CIV,384
Cote d'Ivoire,Africa,2002,46.832,16252726,1.648.800.823,CIV,384
